case,i,x,y
xi_tie_free,40,0.448469069614306,-0.0431944363516755
xi_tie_free,41,0.482458809858766,0.313186254382585
xi_tie_free,42,0.758213782399003,0.397225646521126
xi_tie_free,43,-2.31932736896749,6.01932535161643
xi_tie_free,44,-0.459504780196151,0.562969243113173
xi_tie_free,45,-1.10538366697927,1.44590134800246
xi_tie_free,46,0.402928273406297,0.0931985855323667
xi_tie_free,47,0.568934917844047,0.350018451421196
xi_tie_free,48,-0.706083282429614,-0.156568302082602
xi_tie_free,49,-0.290090625815567,-0.0558369046627376
xi_tie_free,50,-1.48387807160556,2.70768208278467
xi_tie_free,51,-1.15025528126137,1.15271093428795
xi_tie_free,52,-0.274471161816463,0.0613115139807292
xi_tie_free,53,0.577901002861171,0.286875392824223
xi_tie_free,54,-1.39690264657703,2.43200973599444
xi_tie_free,55,0.74905771616478,0.791683564217017
xi_tie_free,56,-1.05118669692296,0.873504664881058
xi_tie_free,57,0.165380870625706,-0.161853762563398
xi_tie_free,58,1.12980912049522,1.02738447007404
xi_tie_free,59,1.17372246423572,1.20029060157236
xi_tie_free,60,-0.427863231850421,0.47739256719804
xi_tied,1,-1.1,-1
xi_tied,2,-0.4,0
xi_tied,3,-0.3,0
xi_tied,4,-0.8,-2
xi_tied,5,-0.1,0
xi_tied,6,-1.4,-2
xi_tied,7,-0.8,-1
xi_tied,8,-1.9,-2
xi_tied,9,0.3,0
xi_tied,10,0.5,1
xi_tied,11,-0.1,0
xi_tied,12,1.2,1
xi_tied,13,-0.8,-1
xi_tied,14,-0.1,0
xi_tied,15,1.7,2
xi_tied,16,-0.3,-1
xi_tied,17,2,1
xi_tied,18,-0.6,-2
xi_tied,19,1,0
xi_tied,20,1.4,1
xi_tied,21,0.3,0
xi_tied,22,0.9,1
xi_tied,23,0.9,1
xi_tied,24,0.7,1
xi_tied,25,0.4,-1
xi_tied,26,0.3,1
xi_tied,27,0.6,1
xi_tied,28,0.4,0
xi_tied,29,-0.7,0
xi_tied,30,2.7,2
xi_tied,31,1.8,1
xi_tied,32,0.9,1
xi_tied,33,-0.8,0
xi_tied,34,-1.4,-2
xi_tied,35,-0.4,0
xi_tied,36,0.5,0
xi_tied,37,-0.9,0
xi_tied,38,0.5,1
xi_tied,39,-1.7,-2
xi_tied,40,-0.7,0
xi_tied,41,1.8,1
xi_tied,42,0.6,1
xi_tied,43,-0.1,-1
xi_tied,44,0.5,0
xi_tied,45,1.1,1
xi_tied,46,0.3,0
xi_tied,47,1.9,3
xi_tied,48,-1.1,-1
xi_tied,49,0.3,1
xi_tied,50,-0.7,-1
xi_tied,51,-0.9,-1
xi_tied,52,1.2,0
xi_tied,53,0,0
xi_tied,54,2.2,3
xi_tied,55,0.5,1
xi_tied,56,0.7,1
xi_tied,57,0.1,0
xi_tied,58,0.1,1
xi_tied,59,0.5,0
xi_tied,60,-0.1,-1
xi_tied_y_only,1,-0.4969391017803,2
xi_tied_y_only,2,0.278838329062106,4
xi_tied_y_only,3,0.384467846123616,2
xi_tied_y_only,4,0.0685822113833399,5
xi_tied_y_only,5,-0.578210061813751,2
xi_tied_y_only,6,1.31389320945878,4
xi_tied_y_only,7,-1.26078827796217,2
xi_tied_y_only,8,-0.726860088834376,1
xi_tied_y_only,9,-0.23134136807485,3
xi_tied_y_only,10,0.607994337497171,3
xi_tied_y_only,11,1.02162983269072,3
xi_tied_y_only,12,0.943725733742312,4
xi_tied_y_only,13,0.945019387979116,3
xi_tied_y_only,14,0.849180477703402,5
xi_tied_y_only,15,-0.727663003685631,4
xi_tied_y_only,16,-0.984254262804858,2
xi_tied_y_only,17,0.774233079588881,3
xi_tied_y_only,18,-0.494010541904783,3
xi_tied_y_only,19,-0.451832588429801,3
xi_tied_y_only,20,0.555608524365212,3
xi_tied_y_only,21,0.56377371429517,3
xi_tied_y_only,22,0.358079827136259,5
xi_tied_y_only,23,-0.984181610914282,3
xi_tied_y_only,24,-0.678118328186443,3
xi_tied_y_only,25,0.779219988063854,5
xi_tied_y_only,26,0.147615573458638,4
xi_tied_y_only,27,-0.202593083288215,4
xi_tied_y_only,28,-1.11073952170524,4
xi_tied_y_only,29,2.31013000245457,5
xi_tied_y_only,30,0.669870568950467,5
xi_tied_y_only,31,-0.628589258558071,2
xi_tied_y_only,32,-0.870726019684845,1
xi_tied_y_only,33,0.0464923710835162,4
xi_tied_y_only,34,0.671939167933273,5
xi_tied_y_only,35,-0.261523036478982,4
xi_tied_y_only,36,-1.27931312115298,2
xi_tied_y_only,37,0.964548268021204,5
xi_tied_y_only,38,0.562419714029749,5
xi_tied_y_only,39,-0.971760632882492,3
xi_tied_y_only,40,-0.0716990810670249,4
xi_tied_y_only,41,1.54981829633567,3
xi_tied_y_only,42,0.598254233943448,4
xi_tied_y_only,43,0.804547366547651,4
xi_tied_y_only,44,-0.22572961207513,3
xi_tied_y_only,45,-0.520817099379317,4
dcor_nonmonotone,1,1.121711762622,-0.450031020719575
dcor_nonmonotone,2,0.214366462081671,0.628928541197756
dcor_nonmonotone,3,0.0951922843232751,0.284122149222058
dcor_nonmonotone,4,0.722269170917571,0.946863575266462
dcor_nonmonotone,5,-0.497623365372419,-0.996518622773851
dcor_nonmonotone,6,-0.626299367286265,-0.69007522264983
dcor_nonmonotone,7,-0.778841192834079,-1.08060176470633
dcor_nonmonotone,8,-1.94130499102175,0.679669975554535
dcor_nonmonotone,9,-1.50220929086208,1.1093214551412
dcor_nonmonotone,10,-0.36840083822608,-0.806658063060381
dcor_nonmonotone,11,1.41462224721909,-0.678871623041082
dcor_nonmonotone,12,0.967340650036931,0.26718700729337
dcor_nonmonotone,13,-1.10579629894346,0.365098849832804
dcor_nonmonotone,14,1.88223951682448,-0.413762358868013
dcor_nonmonotone,15,0.870458479970694,0.237871921903523
dcor_nonmonotone,16,1.29845391958952,-0.969697843612676
dcor_nonmonotone,17,-0.38297248724848,-0.728229631340276
dcor_nonmonotone,18,-0.355448174290359,-1.16346247303045
dcor_nonmonotone,19,1.79649139009416,-0.639869642741136
dcor_nonmonotone,20,0.110888416878879,0.206816804544562
dcor_nonmonotone,21,-0.329796900972724,-0.833076644914054
dcor_nonmonotone,22,1.11617246083915,-0.468361876148535
dcor_nonmonotone,23,-1.2421902474016,0.513784036423455
dcor_nonmonotone,24,-0.184236814267933,-0.482577201217442
dcor_nonmonotone,25,-0.865902486257255,-0.407797101332705
dcor_nonmonotone,26,-1.90667652525008,0.485384148995645
dcor_nonmonotone,27,-0.0196723286062479,-0.105475002064238
dcor_nonmonotone,28,-1.77784843090922,0.911889673020391
dcor_nonmonotone,29,-1.69672574196011,1.02785340334217
dcor_nonmonotone,30,0.307213974185288,1.0650292131173
dcor_nonmonotone,31,-1.35045683383942,0.814736353859124
dcor_nonmonotone,32,0.868705983273685,0.471687544910705
dcor_nonmonotone,33,0.260012246668339,0.873496541818754
dcor_nonmonotone,34,1.32615612912923,-0.563966597592966
dcor_nonmonotone,35,1.58468741923571,-0.870305183003356
dcor_nonmonotone,36,0.457920890301466,1.19269312080268
dcor_nonmonotone,37,1.49952843226492,-0.942220133256147
dcor_nonmonotone,38,1.8331802347675,-0.637537724915587
dcor_nonmonotone,39,-1.05993047077209,0.105996507115442
dcor_nonmonotone,40,1.06740860082209,0.25736824352249
dcor_nonmonotone,41,1.78449532296509,-0.756105837116689
dcor_nonmonotone,42,1.63678831607103,-0.555583320712323
dcor_nonmonotone,43,-0.543614495545626,-1.20250616122138
dcor_nonmonotone,44,-1.60065883025527,1.25390936212308
dcor_nonmonotone,45,-1.43455750495195,0.927594865267952
dcor_nonmonotone,46,-1.32073884177953,0.853779847915315
dcor_nonmonotone,47,1.02963093295693,0.0236141991159701
dcor_nonmonotone,48,-0.722908384166658,-1.26249721631857
dcor_nonmonotone,49,1.26107728946954,-0.381999204465885
dcor_nonmonotone,50,1.91224700957537,-0.397795510013582
durations_iid,1,43.0537017968423,NA
durations_iid,2,0.237365732900798,NA
durations_iid,3,80.3406814261716,NA
durations_iid,4,75.9369785859625,NA
durations_iid,5,113.731283855842,NA
durations_iid,6,17.134985877201,NA
durations_iid,7,53.3946618785091,NA
durations_iid,8,42.230840695364,NA
durations_iid,9,27.3907503379945,NA
durations_iid,10,27.381203098825,NA
durations_iid,11,31.577637734494,NA
durations_iid,12,45.3591547995684,NA
durations_iid,13,3.35824043489993,NA
durations_iid,14,0.252906982786953,NA
durations_iid,15,12.8320204373449,NA
durations_iid,16,6.91977854310897,NA
durations_iid,17,133.146048644871,NA
durations_iid,18,27.3671365279084,NA
durations_iid,19,14.2322090879599,NA
durations_iid,20,8.36726924870163,NA
durations_iid,21,29.9392395267699,NA
durations_iid,22,10.0640462385491,NA
durations_iid,23,39.7920690746379,NA
durations_iid,24,17.7066561207175,NA
durations_iid,25,58.5200406026967,NA
durations_iid,26,59.6943035510309,NA
durations_iid,27,51.1418915701039,NA
durations_iid,28,111.199814987587,NA
durations_iid,29,0.401200043395015,NA
durations_iid,30,11.6489630145952,NA
durations_iid,31,74.7241190969389,NA
durations_iid,32,20.4504751693457,NA
durations_iid,33,5.89250831293878,NA
durations_iid,34,32.3198577749047,NA
durations_iid,35,56.8361384396381,NA
durations_iid,36,4.92322172038257,NA
durations_iid,37,9.73619424272329,NA
durations_iid,38,3.24072010349482,NA
durations_iid,39,7.71771431814591,NA
durations_iid,40,48.6808283974357,NA
durations_iid,41,23.5146662300888,NA
durations_iid,42,9.29863091914025,NA
durations_iid,43,34.1152630547497,NA
durations_iid,44,33.4095072826806,NA
durations_iid,45,4.99651134945452,NA
durations_iid,46,3.39368222219225,NA
durations_iid,47,95.3241071054592,NA
durations_iid,48,14.7367400396615,NA
durations_iid,49,66.6016173164578,NA
durations_iid,50,119.855747016033,NA
durations_iid,51,65.5762997524414,NA
durations_iid,52,75.5023009815872,NA
durations_iid,53,21.9996547645925,NA
durations_iid,54,20.1311135245487,NA
durations_iid,55,25.4384697184857,NA
durations_iid,56,7.41083436179906,NA
durations_iid,57,57.7017525411588,NA
durations_iid,58,93.2004775056496,NA
durations_iid,59,88.5103259185209,NA
durations_iid,60,12.8600381361321,NA
durations_iid,61,42.3204520835216,NA
durations_iid,62,6.30263265687972,NA
durations_iid,63,49.0562334356239,NA
durations_iid,64,34.0253266586427,NA
durations_iid,65,154.000103073686,NA
durations_iid,66,28.5145052499195,NA
durations_iid,67,8.51526171639053,NA
durations_iid,68,49.6403340225048,NA
durations_iid,69,9.99664472456397,NA
durations_iid,70,6.50073825381696,NA
durations_iid,71,61.7436062333114,NA
durations_iid,72,67.7442298232954,NA
durations_iid,73,3.06774605065584,NA
durations_iid,74,29.3904016154323,NA
durations_iid,75,7.95263968873769,NA
durations_iid,76,36.3735173507772,NA
durations_iid,77,42.5511141096182,NA
durations_iid,78,31.1332271328632,NA
durations_iid,79,1.06806388590485,NA
durations_iid,80,17.5699775820614,NA
durations_trend,1,1.06272406317294,NA
durations_trend,2,8.27748222210551,NA
durations_trend,3,23.6922821009486,NA
durations_trend,4,7.8833500752815,NA
durations_trend,5,39.9514894183411,NA
durations_trend,6,2.94338165361443,NA
durations_trend,7,14.6763283155322,NA
durations_trend,8,19.8527992333566,NA
durations_trend,9,64.4301141526839,NA
durations_trend,10,3.77200800100271,NA
durations_trend,11,25.4962991894703,NA
durations_trend,12,11.8022926010757,NA
durations_trend,13,12.8782938279777,NA
durations_trend,14,2.23247741330828,NA
durations_trend,15,50.0326625076274,NA
durations_trend,16,28.3958154383052,NA
durations_trend,17,23.8388480766971,NA
durations_trend,18,86.1739477682295,NA
durations_trend,19,8.86943685824547,NA
durations_trend,20,3.06495860681861,NA
durations_trend,21,9.39743232038579,NA
durations_trend,22,4.18078088410455,NA
durations_trend,23,32.3250962805334,NA
durations_trend,24,7.58165986140838,NA
durations_trend,25,15.7851069540823,NA
durations_trend,26,27.7798110022564,NA
durations_trend,27,17.3919392089253,NA
durations_trend,28,59.2928385935481,NA
durations_trend,29,3.07341650780488,NA
durations_trend,30,79.0443124891288,NA
durations_trend,31,21.9431184938187,NA
durations_trend,32,14.679649286528,NA
durations_trend,33,28.2487860692636,NA
durations_trend,34,53.0565810203974,NA
durations_trend,35,10.30194369074,NA
durations_trend,36,22.9055294565668,NA
durations_trend,37,9.57826507563078,NA
durations_trend,38,82.9791694974714,NA
durations_trend,39,5.43045081672062,NA
durations_trend,40,27.6554438758594,NA
durations_trend,41,23.2870147773124,NA
durations_trend,42,2.05997296818298,NA
durations_trend,43,109.949892799042,NA
durations_trend,44,86.0024482883279,NA
durations_trend,45,96.5005179941919,NA
durations_trend,46,2.84415273599421,NA
durations_trend,47,21.5399836210793,NA
durations_trend,48,134.411123750683,NA
durations_trend,49,117.206255266057,NA
durations_trend,50,104.903977116328,NA
durations_trend,51,62.4482666057742,NA
durations_trend,52,28.1582127698002,NA
durations_trend,53,14.5724385675703,NA
durations_trend,54,158.02550007427,NA
durations_trend,55,13.5717513328097,NA
durations_trend,56,92.4420237434193,NA
durations_trend,57,74.9051281500464,NA
durations_trend,58,108.944781503221,NA
durations_trend,59,12.4163583760869,NA
durations_trend,60,80.0156972187016,NA
durations_trend,61,41.7505217508194,NA
durations_trend,62,69.698957322479,NA
durations_trend,63,32.78874941696,NA
durations_trend,64,43.0880311186094,NA
durations_trend,65,31.1829958131089,NA
durations_trend,66,86.595749912206,NA
durations_trend,67,9.62634892188287,NA
durations_trend,68,64.0596525705428,NA
durations_trend,69,236.637166051232,NA
durations_trend,70,4.41052620523149,NA
durations_trend,71,36.861946942379,NA
durations_trend,72,81.9885480363636,NA
durations_trend,73,177.144420693937,NA
durations_trend,74,101.858245461311,NA
durations_trend,75,30.8147867805548,NA
durations_trend,76,92.6039151845851,NA
durations_trend,77,26.0517068926231,NA
durations_trend,78,24.793951065032,NA
durations_trend,79,62.229991500086,NA
durations_trend,80,199.237938066176,NA
