timestamp,frequency,T2star,T2star error
2640,5.00001212e+09,3.64372878e-05,1.71376273e-06
2700,5.00000679e+09,3.64689712e-05,1.71186173e-06
2760,5.00001467e+09,4.27570766e-05,1.5e-06
2820,5.00000827e+09,3.87185701e-05,1.5768858e-06
2880,5.00000737e+09,4.36280811e-05,1.5e-06
2940,5.00001306e+09,3.69217408e-05,1.68469555e-06
3000,5.00001827e+09,4.41101595e-05,1.5e-06
3060,5.0000117e+09,4.4877991e-05,1.5e-06
3120,4.99999922e+09,4.16479359e-05,1.5e-06
3180,5.00000755e+09,3.87807525e-05,1.57315485e-06
3240,5.00000865e+09,4.02915205e-05,1.5e-06
3300,5.00000829e+09,3.66200588e-05,1.70279647e-06
3360,5.00001001e+09,3.99779146e-05,1.50132513e-06
3420,5.00001056e+09,3.74800519e-05,1.65119689e-06
3480,5.00001189e+09,3.97614742e-05,1.51431155e-06
3540,5.00001323e+09,4.01633205e-05,1.5e-06
3600,5.00000595e+09,4.1843479e-05,1.5e-06
3660,5.00001181e+09,4.45810428e-05,1.5e-06
3720,5.00001125e+09,3.23160994e-05,1.96103403e-06
3780,5.00001235e+09,4.70583812e-05,1.5e-06
3840,5.00001365e+09,4.53666213e-05,1.5e-06
3900,5.00001708e+09,4.05683766e-05,1.5e-06
3960,5.00001484e+09,4.12784183e-05,1.5e-06
4020,5.0000102e+09,3.65156659e-05,1.70906005e-06
4080,5.00001415e+09,3.43653978e-05,1.83807613e-06
4140,5.00000905e+09,3.48705073e-05,1.80776956e-06
4200,5.00001782e+09,3.73063828e-05,1.66161703e-06
4260,5.00001608e+09,3.80518468e-05,1.61688919e-06
4320,5.00000807e+09,4.29912808e-05,1.5e-06
4380,5.00000212e+09,3.47631172e-05,1.81421297e-06
4440,5.0000205e+09,3.99514542e-05,1.50291275e-06
4500,5.00002089e+09,4.03647373e-05,1.5e-06
4560,5.0000199e+09,4.6192484e-05,1.5e-06
4620,5.00001932e+09,3.61120115e-05,1.73327931e-06
4680,5.00001872e+09,3.79706695e-05,1.62175983e-06
4740,5.00000607e+09,3.15884937e-05,2.00469038e-06
4800,5.00001879e+09,3.31792307e-05,1.90924616e-06
4860,5.00001246e+09,3.75661017e-05,1.6460339e-06
4920,5.00001494e+09,4.24474282e-05,1.5e-06
4980,5.00001607e+09,3.83105883e-05,1.6013647e-06
5040,5.00001782e+09,4.49856596e-05,1.5e-06
5100,5.00001163e+09,4.30525017e-05,1.5e-06
5160,5.00001468e+09,3.55770807e-05,1.76537516e-06
5220,5.00001878e+09,3.56261025e-05,1.76243385e-06
5280,5.00001121e+09,3.42910103e-05,1.84253938e-06
5340,5.00001914e+09,4.28293206e-05,1.5e-06
5400,5.00001637e+09,3.65025092e-05,1.70984945e-06
5460,5.00000822e+09,3.95795774e-05,1.52522536e-06
5520,5.00001328e+09,3.83995604e-05,1.59602638e-06
5580,5.00001854e+09,3.66421289e-05,1.70147227e-06
5640,5.00002138e+09,4.23767937e-05,1.5e-06
5700,5.00001869e+09,4.86229579e-05,1.5e-06
5760,5.00002109e+09,3.09156146e-05,2.04506312e-06
5820,5.00002358e+09,4.24266792e-05,1.5e-06
5880,5.00002225e+09,3.97625144e-05,1.51424914e-06
5940,5.00002079e+09,4.11386355e-05,1.5e-06
6000,5.00002172e+09,3.21085465e-05,1.97348721e-06
6060,5.00002347e+09,4.45344935e-05,1.5e-06
6120,5.00001785e+09,3.66175007e-05,1.70294996e-06
6180,5.00002494e+09,4.40259929e-05,1.5e-06
6240,5.00001622e+09,4.73812109e-05,1.5e-06
6300,5.00003208e+09,3.83863921e-05,1.59681647e-06
6360,5.00002582e+09,4.20925044e-05,1.5e-06
6420,5.00001729e+09,4.10773035e-05,1.5e-06
6480,5.00003062e+09,3.91653644e-05,1.55007814e-06
6540,5.00002067e+09,4.25946643e-05,1.5e-06
6600,5.00001144e+09,3.53728036e-05,1.77763178e-06
6660,5.0000228e+09,3.92005399e-05,1.54796761e-06
6720,5.00002014e+09,3.38082866e-05,1.8715028e-06
6780,5.00003619e+09,3.61090931e-05,1.73345442e-06
6840,5.00001423e+09,4.18680419e-05,1.5e-06
6900,5.00002473e+09,4.32438224e-05,1.5e-06
6960,5.00002752e+09,4.40197131e-05,1.5e-06
7020,5.00001952e+09,3.58559502e-05,1.74864299e-06
7080,5.00002295e+09,3.3569226e-05,1.88584644e-06
7140,5.00002514e+09,3.92332053e-05,1.54600768e-06
7200,5.00002581e+09,3.74209304e-05,1.65474418e-06
7260,5.00002089e+09,4.01798742e-05,1.5e-06
7320,5.00002732e+09,4.04700158e-05,1.5e-06
7380,5.00002452e+09,3.47667162e-05,1.81399703e-06
7440,5.00002859e+09,4.49252579e-05,1.5e-06
7500,5.00001955e+09,4.12642641e-05,1.5e-06
7560,5.00002048e+09,4.08310521e-05,1.5e-06
7620,5.00002227e+09,4.33409766e-05,1.5e-06
7680,5.00002996e+09,3.86665219e-05,1.58000868e-06
7740,5.00002605e+09,4.39829181e-05,1.5e-06
7800,5.00003507e+09,3.63988958e-05,1.71606625e-06
7860,5.00002383e+09,3.35042983e-05,1.8897421e-06
7920,5.0000241e+09,3.99048313e-05,1.50571012e-06
7980,5.0000252e+09,3.20328421e-05,1.97802947e-06
8040,5.0000223e+09,2.54185323e-05,2.37488806e-06
8100,5.00002786e+09,2.48968979e-05,2.40618613e-06
8160,5.00002757e+09,3.231358e-05,1.9611852e-06
8220,5.00003054e+09,2.91681622e-05,2.14991027e-06
8280,5.00002114e+09,2.80339297e-05,2.21796422e-06
8340,5.00002531e+09,2.13543987e-05,2.61873608e-06
8400,5.00003581e+09,2.34420955e-05,2.49347427e-06
8460,5.00001662e+09,2.7825855e-05,2.2304487e-06
8520,5.00002832e+09,2.64143267e-05,2.3151404e-06
8580,5.00002823e+09,2.97454142e-05,2.11527515e-06
8640,5.0000236e+09,2.45010847e-05,2.42993492e-06
8700,5.0000288e+09,3.12120072e-05,2.02727957e-06
8760,5.00003332e+09,2.54816676e-05,2.37109994e-06
8820,5.00003191e+09,2.6485954e-05,2.31084276e-06
8880,5.000028e+09,2.8194201e-05,2.20834794e-06
8940,5.00002649e+09,2.7874513e-05,2.22752922e-06
9000,5.00003275e+09,2.56771607e-05,2.35937036e-06
9060,5.00003248e+09,2.87957856e-05,2.17225286e-06
9120,5.00002744e+09,2.78671331e-05,2.22797202e-06
9180,5.00003157e+09,2.89589646e-05,2.16246212e-06
9240,5.00003401e+09,3.1538075e-05,2.0077155e-06
9300,5.00002977e+09,3.01498267e-05,2.0910104e-06
9360,5.00003244e+09,2.47371707e-05,2.41576976e-06
9420,5.00003781e+09,2.67753011e-05,2.29348194e-06
9480,5.000037e+09,2.49069709e-05,2.40558175e-06
9540,5.00003443e+09,2.19361792e-05,2.58382925e-06
9600,5.00003857e+09,2.6420074e-05,2.31479556e-06
9660,5.00002273e+09,2.6659258e-05,2.30044452e-06
9720,5.0000303e+09,3.01183774e-05,2.09289735e-06
9780,5.00002718e+09,2.70163125e-05,2.27902125e-06
9840,5.0000375e+09,3.37604062e-05,1.87437563e-06
9900,5.00003709e+09,3.15248948e-05,2.00850631e-06
9960,5.00003724e+09,2.95774024e-05,2.12535585e-06
10020,5.00002583e+09,2.17771715e-05,2.59336971e-06
10080,5.00003418e+09,3.10240574e-05,2.03855655e-06
10140,5.0000367e+09,2.67813486e-05,2.29311908e-06
10200,5.00003094e+09,2.15872771e-05,2.60476337e-06
10260,5.00003828e+09,2.69574225e-05,2.28255465e-06
10320,5.00003324e+09,2.87672334e-05,2.173966e-06
10380,5.00003721e+09,2.11745119e-05,2.62952928e-06
10440,5.00002555e+09,3.03091095e-05,2.08145343e-06
10500,5.00002924e+09,3.13223744e-05,2.02065754e-06
10560,5.0000333e+09,2.56990085e-05,2.35805949e-06
10620,5.00002772e+09,2.49919054e-05,2.40048568e-06
10680,5.0000343e+09,2.51694571e-05,2.38983257e-06
10740,5.00003978e+09,2.68193643e-05,2.29083814e-06
10800,5.0000348e+09,2.63663645e-05,2.31801813e-06
10860,5.00003157e+09,2.65033734e-05,2.30979759e-06
10920,5.00003785e+09,2.58042779e-05,2.35174332e-06
10980,5.00003322e+09,2.01263617e-05,2.6924183e-06
11040,5.00003284e+09,1.90386125e-05,2.75768325e-06
11100,5.00004567e+09,3.58883767e-05,1.7466974e-06
11160,5.00002765e+09,3.44276695e-05,1.83433983e-06
11220,5.000042e+09,2.74502083e-05,2.2529875e-06
11280,5.00003704e+09,2.64738953e-05,2.31156628e-06
11340,5.00005428e+09,3.44473134e-05,1.8331612e-06
11400,5.00004201e+09,2.81213044e-05,2.21272174e-06
11460,5.00003359e+09,2.47833677e-05,2.41299794e-06
11520,5.00003877e+09,2.87275575e-05,2.17634655e-06
11580,5.00002938e+09,2.90925969e-05,2.15444419e-06
11640,5.00003941e+09,2.27576343e-05,2.53454194e-06
11700,5.00003575e+09,3.13971384e-05,2.01617169e-06
11760,5.00003488e+09,2.48203731e-05,2.41077762e-06
11820,5.00003535e+09,2.5983371e-05,2.34099774e-06
11880,5.00004875e+09,3.06346026e-05,2.06192384e-06
11940,5.00004395e+09,2.66973062e-05,2.29816163e-06
